Symbol,Open,High,Low,LTP,Chng,% Chng
ADANIPORTS,750,766,713.25,715,-47.45,-6.22
ASIANPAINT,"3,101.00","3,167.35","3,091.00","3,138.00",-6.25,-0.2
AXISBANK,669,674.9,660.45,661,-18.9,-2.78
BAJAJ-AUTO,"3,370.00","3,383.50","3,320.00","3,335.00",-56.7,-1.67
BAJAJFINSV,"17,200.00","17,237.20","16,610.00","16,684.00",-684.85,-3.94
BAJFINANCE,"7,021.00","7,047.90","6,775.00","6,780.00",-345.8,-4.85
BHARTIARTL,763,763,733.1,735.85,-29.3,-3.83
BPCL,397.15,397.2,375,377.4,-22.7,-5.67
BRITANNIA,"3,560.00","3,635.10","3,533.95","3,566.60",-6.8,-0.19
CIPLA,892,976.05,890.65,965,65.05,7.23
COALINDIA,157.75,159.4,155.35,155.9,-2.65,-1.67
DIVISLAB,"4,770.00","5,077.70","4,756.75","4,940.00",140.2,2.92
DRREDDY,"4,580.00","4,820.00","4,576.15","4,750.00",158.4,3.45
EICHERMOT,"2,495.00","2,506.10","2,421.50","2,440.75",-79.65,-3.16
GRASIM,"1,757.30","1,757.85","1,679.00","1,685.80",-80.95,-4.58
HCLTECH,"1,120.00","1,126.00","1,103.30","1,111.65",-13.15,-1.17
HDFC,"2,820.35","2,856.00","2,723.00","2,745.00",-122.75,-4.28
HDFCBANK,"1,500.00","1,506.70","1,485.00","1,489.50",-36.45,-2.39
HDFCLIFE,685,689,667.1,669.75,-19.05,-2.77
HEROMOTOCO,"2,580.00","2,589.70","2,505.15","2,526.80",-67.9,-2.62
HINDALCO,441.8,442.7,414.7,417.7,-29.35,-6.57
HINDUNILVR,"2,344.00","2,365.00","2,325.20","2,340.90",-8.15,-0.35
ICICIBANK,739,742.05,718.6,720.45,-30.6,-4.07
INDUSINDBK,951,956.95,898,899.95,-59.35,-6.19
INFY,"1,702.55","1,718.35","1,684.00","1,689.55",-32.85,-1.91
IOC,125.6,125.6,120.5,121.15,-4.5,-3.58
ITC,228.9,230.05,223.1,223.6,-7.7,-3.33
JSWSTEEL,668.25,672.55,624.25,630,-50.9,-7.48
KOTAKBANK,"2,002.00","2,007.00","1,955.10","1,960.00",-75.1,-3.69
LT,"1,820.00","1,841.75","1,768.60","1,781.00",-68.9,-3.72
M&M,885,885,843,855.05,-36.15,-4.06
MARUTI,"7,520.00","7,520.00","7,130.00","7,150.00",-422.5,-5.58
NESTLEIND,"19,148.85","19,434.10","18,982.50","19,250.00",71.95,0.38
NTPC,133.2,134.05,128,128.65,-6.55,-4.84
ONGC,152.25,152.25,146.25,147.75,-7.35,-4.74
POWERGRID,204.05,204.95,200.8,202.5,-1.75,-0.86
RELIANCE,"2,467.80","2,477.60","2,401.50","2,405.10",-87.85,-3.52
SBILIFE,"1,154.00","1,154.00","1,105.25","1,130.85",-28.65,-2.47
SBIN,486.25,487.9,467.1,470,-20.55,-4.19
SHREECEM,"26,450.00","26,539.90","25,812.00","25,900.00",-770.5,-2.89
SUNPHARMA,775,798.9,762,767.25,-15.65,-2
TATACONSUM,800.2,805,763.15,769.9,-37.9,-4.69
TATAMOTORS,486,486.75,458,459.4,-33.35,-6.77
TATASTEEL,"1,157.90","1,159.50","1,106.25","1,110.25",-63.4,-5.4
TCS,"3,425.00","3,490.00","3,411.90","3,439.20",-6.7,-0.19
TECHM,"1,544.00","1,550.00","1,510.15","1,519.00",-40.35,-2.59
TITAN,"2,377.80","2,385.10","2,285.05","2,293.00",-104.8,-4.37
ULTRACEMCO,"7,550.00","7,599.00","7,370.10","7,398.45",-210.35,-2.76
UPL,726,726,701,703.5,-23.8,-3.27
WIPRO,632,634.4,619.65,621.3,-15.4,-2.42
